OrderID,PricePerItem,Quantity,ShippingDistance,CustomerID
1,10,5,3,6671
2,10,10,84,8647
3,10,1,,4075
4,10,10,92,8452
5,10,3,2,2621
6,10,5,,9160
7,10,2,63,3799
8,10,8,65,809
9,10,10,56,2271
10,10,4,71,4680
11,10,3,10,5022
12,10,5,94,8111
13,10,10,83,6040
14,10,4,76,2083
15,10,4,25,2849
16,10,3,16,535
17,10,10,56,9479
18,10,4,97,7367
19,10,1,91,4120
20,10,5,45,67
21,10,1,81,8231
22,10,8,16,4625
23,10,9,,1448
24,10,1,71,9824
25,10,9,91,5172
26,10,10,93,9750
27,10,5,77,1819
28,10,10,59,939
29,10,5,78,747
30,10,2,79,2663
31,10,10,18,7978
32,10,8,82,4904
33,10,1,10,434
34,10,7,99,9170
35,10,8,5,2017
36,10,10,41,1476
37,10,8,35,8078
38,10,6,10,707
39,10,7,48,4719
40,10,1,65,6149
41,10,9,1,1585
42,10,10,65,7784
43,10,3,84,8659
44,10,6,36,7125
45,10,1,35,6360
46,10,3,48,1083
47,10,10,44,1116
48,10,2,51,2315
49,10,3,67,7161
50,10,1,63,1748
51,10,8,68,3870
52,10,1,5,9483
53,10,1,91,4412
54,10,5,89,1702
55,10,5,72,6129
56,10,2,90,4783
57,10,7,64,3310
58,10,10,14,9254
59,10,6,74,4934
60,10,6,49,2754
61,10,9,89,5746
62,10,1,16,696
63,10,4,58,9315
64,10,1,31,4543
65,10,5,84,7829
66,10,7,,940
67,10,6,14,7797
68,10,1,84,3877
69,10,5,28,8413
70,10,9,98,4772
71,10,1,76,8801
72,10,10,9,6651
73,10,9,63,7606
74,10,6,68,6467
75,10,10,83,2374
76,10,7,13,3444
77,10,7,43,5474
78,10,4,72,814
79,10,8,48,2020
80,10,3,89,75
81,10,4,72,2342
82,10,8,14,3705
83,10,8,43,7821
84,10,3,93,7715
85,10,6,52,8815
86,10,9,6,4320
87,10,9,86,3983
88,10,1,84,6134
89,10,7,77,6124
90,10,6,28,1089
91,10,6,42,9264
92,10,3,60,5963
93,10,6,8,8106
94,10,7,13,7025
95,10,1,84,4388
96,10,1,53,1612
97,10,8,49,9244
98,10,2,35,2021
99,10,10,54,6180
100,10,3,80,9522
101,10,8,72,6193
102,10,4,32,5885
103,10,6,4,3068
104,10,7,45,5538
105,10,3,65,628
106,10,9,7,6752
107,10,9,73,416
108,10,8,,6515
109,10,5,58,9201
110,10,1,69,1809
111,10,5,73,9898
112,10,7,80,10
113,10,8,8,8918
114,10,5,3,4641
115,10,2,48,5119
116,10,2,8,3175
117,10,9,64,3281
118,10,3,15,6996
119,10,1,97,7001
120,10,4,47,4956
121,10,6,93,3033
122,10,10,10,1402
123,10,2,5,1776
124,10,2,9,9144
125,10,6,35,4355
126,10,3,81,918
127,10,2,99,5562
128,10,5,10,862
129,10,5,59,7500
130,10,8,65,5394
131,10,5,87,2577
132,10,10,74,3459
133,10,9,79,2568
134,10,8,41,8623
135,10,3,34,1929
136,10,9,32,4812
137,10,4,2,5439
138,10,3,87,7473
139,10,1,66,6100
140,10,7,50,4156
141,10,3,56,9504
142,10,7,55,9255
143,10,7,61,8796
144,10,7,22,9377
145,10,8,76,9844
146,10,10,86,1434
147,10,1,94,7555
148,10,5,26,6220
149,10,1,16,3351
150,10,2,63,5949
151,10,4,63,1834
152,10,10,68,884
153,10,9,75,6894
154,10,9,65,3567
155,10,9,97,1520
156,10,7,28,9948
157,10,3,63,1244
158,10,3,80,7888
159,10,3,53,9147
160,10,6,65,3701
161,10,5,33,5558
162,10,5,83,7537
163,10,5,39,6448
164,10,7,64,2053
165,10,9,,4552
166,10,5,56,2199
167,10,10,7,571
168,10,10,31,7842
169,10,9,70,3024
170,10,7,37,2972
171,10,10,96,314
172,10,9,43,9866
173,10,10,1,6178
174,10,6,30,9519
175,10,3,3,8797
176,10,8,18,2444
177,10,10,97,680
178,10,6,58,3386
179,10,4,62,7970
180,10,7,100,8601
181,10,2,65,4507
182,10,7,53,4616
183,10,3,25,33
184,10,9,66,8578
185,10,5,94,2079
186,10,7,78,7139
187,10,9,80,6671
188,10,9,21,2190
189,10,4,5,2022
190,10,5,31,1834
191,10,9,64,6738
